City,Long,Lat,Segment,,Length,SegmentLength
Ulan Ude,51.8333,107.6,Trans-Siberian,,9289,
Chita,52.05,113.4667,Trans-Siberian,,,
Mogocha,53.7333,119.7667,Trans-Siberian,,,
Magdagachi,53.45,125.8,Trans-Siberian,,,
Belogorsk,50.9167,128.4667,Trans-Siberian,,,
Birobidzhan,48.8,132.9333,Trans-Siberian,,,
Khabarovsk,48.4833,135.0667,Trans-Siberian,,,
Ussuriysk,43.8,131.9667,Trans-Siberian,,,
Vladivostok,43.1333,131.9,Trans-Siberian,,,
