City,Long,Lat,Route,Distance (km),SegmentLength
Moscow,55.75,37.6167,Trans-Siberian ,"9,289",
Ulan Ude,51.8333,107.6,,,
Chita,52.05,113.4667,Trans-Manchurian,"9,001",
Beijing,39.9139,116.3917,Trans-Mongolian,"7,854",
Vladivostok,43.1333,131.9,,,
