City,Long,Lat,Segment,Day,Length,SegmentLength
Ulan Ude,51.8333,107.6,Trans-Mongolian,,7854,
Naushki,50.3886,106.1044,Trans-Mongolian,,,
Sukhbaatar,50.2364,106.2064,Trans-Mongolian,,,
Ulan Bator,47.92,106.92,Trans-Mongolian,,,
Zamyn-Uud,43.7169,111.9056,Trans-Mongolian,,,
Erenhot,43.65,111.9833,Trans-Mongolian,,,
Datong,40.0833,113.3,Trans-Mongolian,,,
Beijing,39.9139,116.3917,Trans-Mongolian,,,
