City,Long,Lat,Segment,Day,Length,SegmentLength
Ulan Ude,51.8333,107.6,Trans-Manchurian,,,
Chita,52.05,113.4667,Trans-Manchurian,,,
Zabaykalsk,49.6514,117.3269,Trans-Manchurian,,,
Manzhouli,49.6,117.4333,Trans-Manchurian,,,
Harbin,45.75,126.6333,Trans-Manchurian,,,
Shanhaiguan,39.9789,119.7756,Trans-Manchurian,,,
Beijing,39.9139,116.3917,Trans-Manchurian,,,
